Section,Item,Statement,Guidance,Importance,Score,Response: ISO 27001,Response: DEA Security,Response: DEA Capability,
Data management,3.4.1.,You should provide a metadata catalogue of available datasets for users.,"This is particularly relevant for TREs with population-level data collection of general interest.
This may not be appropriate for TREs where each project has its own data sharing agreement with one or more data provider or very sensitive datasets.",Recommended,2,,,"C.2.2: Evidenced and appropriate procedures to manage data, metadata, and code in the environment.
 
 C.2.7. Clear records of all data in the environment. This includes open data, 
 geography lookups and data extracts. 
 
 C.4.5. Each dataset is accompanied by a minimum set of documentation available to researchers and support staff. Processes to review data documentation are in 
 place. 
 
 C.5.4. Share records of the data available in the processors’ environment under the 
 DEA. (share with the UK Statistics Authority as the accrediting body)",
Data management,3.5.1.,You must be able to specify what categories of data your TRE is able to support.,"Your TRE must provide an explanation of the kinds of data it has been designed to hold, with reference to its security capabilities, that can be understood by all stakeholders.
Relevant stakeholders may include information asset owners and project teams and they may have different levels of technical expertise.",Mandatory,1,,,,
Data management,3.5.2.,Your TRE could support projects with differing security requirements through configurable security controls.,"This allows projects with different security requirements to each be met with a suitable level of controls.
It helps ensure that users can work effectively, with minimal barriers.",Optional,1,,,,
Data management,3.5.3.,Your TRE could offer a pre-defined set of security control tiers.,"Security control tiers can be designed to cover the types of project or data you expect to handle.
Projects may be placed into the most suitable tier rather than having a bespoke design.
This reduces the number of unique configurations that need to be supported.",Optional,1,,,,
Data management,3.6.1.,You should have a consistent and easily accessible meta-data data model or similar to describe what a data asset contains.,"Where possible, existing data models should be employed (and extended if necessary).
More detailed information on the data schema for data assets should also be provided to assist researchers in understanding what data may be available without the need to see the underlying data.",Recommended,2,,,"Partly covered by
 C.4.5. Each dataset is accompanied by a minimum set of documentation available 
 to researchers and support staff. Processes to review data documentation are in 
 place.",
Data management,3.6.2.,"You could provide summary, abstracted or synthetic data to researchers without exposing the underlying data set.",To reduce the need for access to row level data researchers could be provided with non-sensitive versions of the data either as summary data or using synthetic versions of the data for activities such as code development and cohort planning.,Optional,0,,,"N/A, possibly partly covered by 
 C.4.5. Each dataset is accompanied by a minimum set of documentation available to researchers and support staff. Processes to review data documentation are in place.",
Data management,3.7.1.,You could provide an interface application for data consumers and data subjects to query elements of the data.,"In order to make data findable, an application which queries the meta-data or elements of the research data could be made more easily accessible than the data itself.",Optional,0,,,,
Data management,3.8.1.,Archived data within the TRE should be read only.,"Archived data by its very nature should not change and therefore be maintained as a read only store.
If an update is required, it may be pulled from archive into a separate operational store.",Recommended,2,,,,
Data management,3.8.2.,"Long-term archives must be held in simple, standard formats to ensure accessibility.","Some data archives may be required by policy or legislation to be kept for very long periods within the scope of the TRE.
Such data should be held in the simplest possible file format, conforming to international standards if available, to ensure they are platform and application agnostic.",Recommended,2,,,"Partly covered by 
 C.2.6: Policies and evidenced procedures for the retention of all different data instances.",
Supporting Capabilities,4.1.1.,You should have a business continuity plan that includes consideration of loss of service for deployed TREs.,"This may be due to downtime from service providers, a breach, or loss of power.
Your plan should detail your process for managing loss of service for deployed TREs, and evaluation of impact of such loss.",Recommended,2,"A5.30: ICT readiness for business continuity. ICT readiness shall be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements.","N-1: There are business continuity and disaster recovery plans in place. Copies of BC and DR plans.

N-2: The plans are tested on a periodic basis to ensure they remain up to date and fit for purpose, with tests being analysed afterwards for lessons learned. Evidence of tests being planned and carried out. Minutes of relevant discussions. Analysis and report documents. 

N-3: Business continuity and disaster recovery plans are communicated / made available to staff. Copies of staff communications and guidance. 

N-4: Where cloud infrastructure is in use, the organisation has documented consideration of fail over processes for data centre failure, and has considered the geography of where the data may reside in the event of an outage. Evidence of consideration, evidence of planned fail over locations. ",,
Supporting Capabilities,4.1.2.,"You should regularly test the aspects of your business continuity plan concerning TREs, and have a process in place to iterate the plan if required.",,Recommended,2,"A5.30: ICT readiness for business continuity. ICT readiness shall be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements.","N-1: There are business continuity and disaster recovery plans in place. Copies of BC and DR plans.

N-2: The plans are tested on a periodic basis to ensure they remain up to date and fit for purpose, with tests being analysed afterwards for lessons learned. Evidence of tests being planned and carried out. Minutes of relevant discussions. Analysis and report documents. 

N-3: Business continuity and disaster recovery plans are communicated / made available to staff. Copies of staff communications and guidance. 

N-4: Where cloud infrastructure is in use, the organisation has documented consideration of fail over processes for data centre failure, and has considered the geography of where the data may reside in the event of an outage. Evidence of consideration, evidence of planned fail over locations. ",,
Supporting Capabilities,4.2.1.,You should ensure that all projects using your TRE have a named project manager.,"The project manager has responsibility to ensure the smooth running of the project.
Their responsibilities may include budget management, tracking TRE status, managing communications with the TRE operations team, and other project support tasks.",Recommended,2,,,,
Supporting Capabilities,4.2.2.,You should not give project managers direct access to the TRE.,"Doing so ensures a separation between those able to access sensitive data, and those overseeing access to sensitive data.",Recommended,2,"A5.15: Access control. Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.

A5.14: Information transfer. Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties.

A5.33: Protection of records. Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release.","F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. ","Implicitly covered by 
 C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.",
Supporting Capabilities,4.3.1.,You must document all features of your TRE implementation.,"This includes ensuring all documentation is discoverable, clear, and able to be easily updated based on stakeholder feedback",Mandatory,1,,,,
Supporting Capabilities,4.3.2.,You should have an education programme in place to upskill stakeholders in the use and management of your TRE.,"This may include learning modules, workshops and other resources on how to effectively access and use a TRE, FAQ pages, and accessible pathways for additional support",Recommended,1,,,"C.4.2. Provide sufficient information on how researchers can interact with the 
 service before researchers access the environment.",
Supporting Capabilities,4.3.3.,You should periodically carry out a training needs analysis (TNA) for all stakeholders included within your TRE provision.,"At least once every 12 months you should assess the training needs of your stakeholders, and ensure they have easy access to all required training materials",Recommended,1,,,"C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.
 
 C.3.1: Demonstrate that staff have the relevant skills and/or experience, security clearance, training, and support to provision all functions of the processor in line with relevant policies. Evidence of ongoing assessment and development of staff.
 
 C.4.2. Provide sufficient information on how researchers can interact with the service before researchers access the environment. 
 
 C.5.3: The training course offered to researchers is recognised by the accrediting body and processors provide evidence that it is being regularly reviewed.",
Supporting Capabilities,4.4.1.,You must ensure that all projects using your TRE are aware of any associated costs and are able and willing to pay them.,"Costs may include provision of the underlying TRE infrastructure, additional resources required in a specific TRE (for instance memory or additional compute), hardware including managed devices, and staff support costs",Mandatory,2,,,"C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.
 
 C.4.1. Publicly provide information the functions and services provided, including 
 accessibility and performance information regarding these services.",
Supporting Capabilities,4.4.2.,You should be able to track the costs associated with each TRE project.,"This includes knowing which costs are associated with which project, and having an appropriate charging mechanism in place in line with your organisational policy.",Recommended,1,,,,
Supporting Capabilities,4.4.3.,You should have a process in place to ensure your TRE provision remains financially sustainable.,"This could include having a cost recovery process in place, or setting up a long-term funding mechanism to support projects with TREs.
At any given time, you should have funds free to cover all potential foreseen TRE provision for at least 12 months.",Recommended,1,,,,
Supporting Capabilities,4.4.4.,You should minimise the cost of your TRE infrastructure wherever possible,"You should have regular reviews of your TRE provision and actively work to bring down costs, streamline provision, and optimise support.",Recommended,0,,,,
Supporting Capabilities,4.5.1.,You must identify any goods or services that will be needed to operate the TRE and ensure that a plan is in place to purchase them as needed.,"These may include computing hardware, cloud credits or devices through which users access the TRE.",Mandatory,1,,,,
Supporting Capabilities,4.6.1.,Your TRE must have a team of Operators in place to support projects working with TREs.,"This may be part of your organisation’s IT support team, or separate.
Responsibility should be clear and stakeholders should easily be able to access support appropriate to their needs.",Mandatory,2,,,"C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.
 
 C.3.1. Demonstrate that staff have the relevant skills and/or experience, security 
 clearance, training, and support to provision all functions of the processor in line with 
 relevant policies. Evidence of ongoing assessment and development of staff.
 
 Role of staff in supporting the operations of the TRE also covered by multiple other controls",
Supporting Capabilities,4.7.1.,You should have a clear process in place for stakeholders to feedback on your TRE infrastructure.,"This may include a GitHub repository where people can open issues and discussions, communication streams like Slack or email, or forms stakeholders can fill in.",Recommended,2,,,"C.1.3. Clearly communicate the available statistical/analytical software in the 
 environment and manage any changes to software and its impact to research. 
 
 C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.
 
 C.4.2. Provide sufficient information on how researchers can interact with the 
 service before researchers access the environment. 
 
 C.4.3. Effective, accessible, inclusive, and auditable systems to respond to requests 
 by researchers.",
Supporting Capabilities,4.8.1.,All public engagement activities must include a range of perspectives and be inclusive (*optional for TREs without personal data).,"Any public engagement activity carried out by TREs should involve diverse participants and that activities are accessible.
Recruitment plans should consider how to proactively reach a representative sample of people or target particular groups of people where relevant
This could include following guidelines such as PEDRI.",Mandatory*,1,,,,
Supporting Capabilities,4.8.2.,"Details of TRE operations, data available and projects which have accessed the data should be publicly available (*optional for TREs without personal data).","TREs should be as transparent as possible by providing information online.
Where information is made available online this should be written in clear language understandable to general public.
A record of projects which have accessed data via the TRE should be kept and made available.
Where possible it should include name, summaries, public benefit (if relevant) and organisations involved",Mandatory*,1,,,"C.1.1: Maintain sufficiently detailed records, including any accreditation conditions, of all projects in the processor’s environment. 
 
 C.4.1: Publicly provide information the functions and services provided, including accessibility and performance information regarding these services.
 
 C.4.2: Provide sufficient information on how researchers can interact with the service before researchers access the environment.
 
 C.5.4: Share records of the data available in the processors’ environment under the DEA.",
Supporting Capabilities,4.8.3.,Members of the public should be included in TRE operations and/or oversight (*optional for TREs without personal data).,"Members of the public can be involved via presence on steering groups or project approvals panels.
Alternatively TRE’s can establish separate public panels available for both researchers and TRE staff to consult.",Mandatory*,1,,,,
Supporting Capabilities,4.8.4.,"You should publicly share details of incidents, near misses, and mitigations in a timely fashion, in line with good practices for responsible disclosure.","This may be via the TRE website or annual reports.
Sharing this information is particularly important when a TRE holds public sector data.",Recommended,1,A.5.24 – Information security incident management responsibilities and procedures. nformation security incidents shall be responded to in accordance with a documented procedure,,"C.4.1: Publicly provide information the functions and services provided, including accessibility and performance information regarding these services.
 
 C.5.1: Share relevant information on its performance
 
 C.5.2: Share relevant information on confirmed breaches and near misses by individuals and organisations.
 
 (Sharing in C.5.1 and C.5.2 refers to sharing with the UK Statistics Authority as the accredity body)",
Supporting Capabilities,4.9.1.,You should identify areas where legal advice may be required and ensure that you have ready access to it.,"It is likely that legal advice will be necessary for several issues around the handling of sensitive data, and managing project contracts.
TRE operators should have ready access to legal advice, including a way to solicit advice and carry out associated actions.",Recommended,2,,,"Partly covered by 
 C.2.1. Maintain clear and consistent records of legal agreements that outline how 
 data is accessed, processed, and used in the environment.",
Supporting Capabilities,4.9.2.,You should identify areas where advice on data protection issues may be required and ensure that you have ready access to it.,It is likely that data protection advice will be necessary for several issues around the handling of sensitive data.,Recommended,2,,,,
Supporting Capabilities,4.9.3.,You should identify who will be responsible for managing contracts related to the TRE.,"These contracts may include data sharing agreements, secondments of personnel or limitations on how results obtained with the data can be distributed.",Recommended,2,,,,
,,,,,,,,,
Version,stable-6ef8e7f,,,,,,,,
